n,nodes
16,18
20,6
40,4
44,9
48,13
72,9
96,17
116,18
120,63
144,64
168,68
192,50
216,203
240,158
264,560
288,341
312,670
336,1124
360,2156
384,3775
408,2199
432,8685
456,13088
480,9316
504,16990
528,36528
576,34952
624,38229
672,170790
720,274626
768,593379
816,4321403
816,OOT
864,3685903
912,873813
912,OOT
960,5592405
960,OOT
1008,5592405
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
