n,nodes
16,13
20,7
40,4
44,9
48,13
72,9
96,13
116,17
120,68
144,62
168,55
192,53
216,175
240,155
264,539
288,315
312,452
336,883
360,1511
384,1911
408,2559
432,3624
456,10862
480,8356
504,15261
528,6532
576,19775
624,32337
672,116054
720,154057
768,537941
816,4142606
864,1144226
912,2416891
960,3790274
960,OOT
1008,5076256
1008,OOT
1056,5592405
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
