n,nodes
16,13
20,6
40,4
44,9
48,11
72,9
96,15
116,18
120,65
144,56
168,54
192,43
216,171
240,149
264,418
288,311
312,659
336,918
360,1165
384,1873
408,2212
432,3274
456,11237
480,8967
504,14975
528,7382
576,20715
624,33374
672,116368
720,148156
768,556802
816,3938314
864,1150525
912,2544983
960,3758600
960,OOT
1008,5089522
1008,OOT
1056,5592405
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
