n,nodes
16,14
20,6
40,4
44,9
48,12
72,9
96,15
116,17
120,60
144,66
168,53
192,55
216,184
240,137
264,510
288,309
312,545
336,911
360,1313
384,1852
408,2514
432,3424
456,11834
480,7707
504,15361
528,6918
576,20878
624,36840
672,104421
720,150642
768,525162
816,4142941
864,1144240
912,2391812
960,3790229
960,OOT
1008,5024654
1008,OOT
1056,5592405
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
