n,nodes
16,14
20,7
40,4
44,9
48,11
72,9
96,15
116,18
120,63
144,61
168,54
192,46
216,184
240,141
264,444
288,309
312,584
336,969
360,1238
384,1779
408,2200
432,3348
456,10834
480,8534
504,15207
528,6661
576,22827
624,34610
672,131073
720,145378
768,525162
816,3966266
864,1160857
912,2400957
912,OOT
960,3790229
960,OOT
1008,4822585
1008,OOT
1056,5592405
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
