n,nodes
16,12
20,6
40,4
44,9
48,11
72,9
96,15
116,17
120,66
144,66
168,52
192,44
216,174
240,158
264,521
288,303
312,670
336,940
360,1632
384,2231
408,2462
432,3541
456,12403
480,9557
504,17245
528,11915
576,23639
624,38692
672,104063
720,214514
768,611669
816,5421645
864,1810194
912,2534063
912,OOT
960,4664069
960,OOT
1008,5592405
1008,OOT
1056,5592405
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
