n,nodes
16,15
20,7
40,4
44,9
48,13
72,10
96,15
116,18
120,69
144,68
168,68
192,57
216,206
240,134
264,499
288,341
312,602
336,1103
360,1968
384,2996
408,2266
432,8719
456,12775
480,9473
504,18311
528,30287
576,36739
624,36262
672,163197
720,276707
768,649118
816,3940103
816,OOT
864,3495253
912,873813
912,OOT
960,5592405
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
