n,nodes
16,13
20,7
40,4
44,9
48,11
72,9
96,16
116,19
120,62
144,62
168,53
192,46
216,170
240,161
264,521
288,314
312,606
336,940
360,1669
384,2332
408,2275
432,3655
456,13478
480,9665
504,18064
528,11091
576,28300
624,33402
672,104421
720,184884
768,599185
816,5995194
864,1758678
912,2525323
912,OOT
960,5035376
960,OOT
1008,5592405
1008,OOT
1056,5592405
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
