n,nodes
88,69
176,166
264,327
352,384
440,537
528,828
616,1021
704,1366
792,1932
880,3836
968,3608
1056,5273
1144,10056
1232,12578
1320,16945
1408,31943
1496,58784
1584,61099
1584,OOT
1672,83003
1672,OOT
1760,67968
1760,OOT
1848,116011
1848,OOT
1936,OOT
2024,54703
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
