n,nodes
88,68
176,170
264,316
352,386
440,559
528,855
616,1084
704,1524
792,2117
880,3557
968,4364
1056,6127
1144,12515
1232,13192
1320,18216
1408,39083
1496,49158
1584,106739
1672,96730
1760,233190
1848,263155
1936,354509
2024,488179
2112,1527578
2200,1428569
2288,2057523
2376,3877777
2376,OOT
2464,5204168
2464,OOT
2552,4732049
2552,OOT
2640,4538445
2640,OOT
2728,5048239
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
