n,nodes
88,64
176,148
264,272
352,433
440,499
528,1022
616,1502
704,1154
792,3426
880,3944
968,35294
1056,48129
1144,43788
1232,49311
1320,124122
1408,71291
1496,175852
1496,OOT
1584,467171
1584,OOT
1672,117734
1672,OOT
1760,OOT
1848,OOT
1936,OOT
2024,OOT
2112,OOT
2200,303814
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
