n,nodes
88,39
176,106
264,153
352,273
440,328
528,634
616,721
704,1290
792,1620
880,2837
968,3395
1056,5268
1144,9707
1232,11519
1320,16483
1408,26561
1496,42162
1584,62269
1672,122012
1760,199845
1848,250704
1936,637724
2024,524087
2112,1067793
2200,818971
2288,1847145
2376,3919812
2464,6079300
2464,OOT
2552,5576351
2552,OOT
2640,3534772
2640,OOT
2728,8853033
2728,OOT
2816,OOT
2904,OOT
2992,4129583
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
