n,nodes
88,66
176,150
264,307
352,630
440,445
528,869
616,3478
704,2219
792,2895
880,10969
968,21866
1056,12195
1144,184230
1232,55087
1320,259400
1408,362774
1496,309970
1496,OOM
1584,260832
1584,OOM
1672,289735
1760,1499161
1760,OOM
1848,OOM
1936,1402126
1936,OOM
2024,881508
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
