n,nodes
88,74
176,155
264,247
352,414
440,526
528,648
616,3466
704,2129
792,4932
880,7931
968,63735
1056,29394
1144,49985
1232,170174
1320,194589
1408,155278
1496,239045
1496,OOM
1584,108022
1584,OOM
1672,478273
1672,OOM
1760,704527
1760,OOM
1848,OOM
1936,1293095
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
