n,nodes
88,75
176,153
264,246
352,445
440,565
528,1211
616,1752
704,1540
792,4292
880,22585
968,17980
1056,14405
1144,49681
1232,205083
1320,131895
1408,823900
1408,OOM
1496,411808
1496,OOM
1584,510186
1584,OOM
1672,740925
1672,OOM
1760,543035
1760,OOM
1848,357057
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
