n,nodes
88,75
176,153
264,247
352,446
440,585
528,1160
616,1610
704,1517
792,3769
880,21283
968,16079
1056,13343
1144,56468
1232,194462
1320,251117
1408,805343
1408,OOM
1496,387893
1496,OOM
1584,582097
1584,OOM
1672,376416
1672,OOM
1760,582841
1760,OOM
1848,357089
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
