n,nodes
88,74
176,155
264,311
352,404
440,543
528,633
616,2923
704,2294
792,4914
880,14142
968,104634
1056,36993
1144,46284
1232,144909
1320,182666
1408,179376
1496,245977
1496,OOM
1584,122338
1584,OOM
1672,121932
1672,OOM
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
