n,nodes
88,85
176,155
264,307
352,491
440,597
528,1310
616,1663
704,1553
792,3453
880,39093
968,13120
1056,14519
1144,52484
1232,54354
1232,OOM
1320,59785
1320,OOM
1408,360170
1408,OOM
1496,174864
1496,OOM
1584,111115
1584,OOM
1672,176219
1672,OOM
1760,490108
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
