n,nodes
88,85
176,158
264,302
352,483
440,610
528,1408
616,1638
704,1521
792,4404
880,37353
968,17890
1056,15632
1144,42930
1232,68491
1232,OOM
1320,63877
1320,OOM
1408,360167
1408,OOM
1496,154618
1496,OOM
1584,111136
1584,OOM
1672,176220
1672,OOM
1760,490111
1760,OOM
1848,357091
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
