n,nodes
88,75
176,154
264,255
352,440
440,578
528,1112
616,1705
704,1513
792,3768
880,21237
968,17135
1056,13749
1144,56880
1232,217089
1320,235719
1408,791430
1408,OOM
1496,187527
1496,OOM
1584,576708
1584,OOM
1672,657040
1672,OOM
1760,565845
1760,OOM
1848,357094
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
