n,nodes
88,67
176,149
264,286
352,520
440,460
528,1323
616,2125
704,2398
792,8764
880,10160
968,29783
1056,49542
1144,123998
1232,65577
1320,233183
1320,OOM
1408,166378
1408,OOM
1496,88517
1496,OOM
1584,634126
1584,OOM
1672,416344
1672,OOM
1760,1137290
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
