n,nodes
88,77
176,160
264,258
352,477
440,566
528,1021
616,3220
704,1895
792,5069
880,14259
968,20974
1056,40232
1144,164255
1232,232491
1232,OOM
1320,380199
1408,342734
1496,1049713
1496,OOM
1584,474086
1584,OOM
1672,850120
1672,OOM
1760,1399434
1760,OOM
1848,1399504
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
