n,nodes
88,76
176,158
264,257
352,518
440,558
528,2335
616,1596
704,3091
792,7785
880,13256
968,13361
1056,11949
1144,36960
1232,169869
1320,431556
1408,1493864
1496,555458
1496,OOM
1584,1071627
1584,OOM
1672,1399362
1672,OOM
1760,1011084
1760,OOM
1848,1399497
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
