n,nodes
88,78
176,156
264,256
352,509
440,575
528,2530
616,1603
704,2919
792,7924
880,14128
968,12339
1056,11891
1144,39879
1232,219387
1320,426983
1408,1489053
1496,484715
1496,OOM
1584,1027229
1584,OOM
1672,1399377
1672,OOM
1760,806760
1760,OOM
1848,1399516
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
