n,nodes
88,96
176,161
264,303
352,465
440,618
528,1165
616,2615
704,1898
792,4898
880,12935
968,36794
1056,39635
1144,155146
1232,208781
1232,OOM
1320,130890
1320,OOM
1408,175832
1408,OOM
1496,350666
1496,OOM
1584,88588
1584,OOM
1672,350791
1672,OOM
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
