n,nodes
88,91
176,159
264,304
352,571
440,622
528,2429
616,1522
704,2973
792,9812
880,23144
968,15099
1056,14624
1144,53626
1232,182806
1320,167822
1320,OOM
1408,OOM
1496,171931
1496,OOM
1584,350715
1584,OOM
1672,OOM
1760,350859
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
