n,nodes
88,90
176,162
264,309
352,543
440,613
528,2464
616,1556
704,2938
792,9014
880,27100
968,16162
1056,14146
1144,54904
1232,188800
1320,170303
1320,OOM
1408,OOM
1496,180759
1496,OOM
1584,350726
1584,OOM
1672,OOM
1760,350861
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
