n,nodes
88,77
176,157
264,256
352,508
440,576
528,2530
616,1535
704,2920
792,8105
880,14328
968,14384
1056,11893
1144,39497
1232,222010
1320,473229
1408,1502164
1496,667425
1496,OOM
1584,1006083
1584,OOM
1672,1399368
1672,OOM
1760,852361
1760,OOM
1848,1399508
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
