n,nodes
88,67
176,150
264,289
352,534
440,467
528,1242
616,2208
704,2761
792,8106
880,8630
968,28463
1056,48093
1144,123996
1232,62615
1320,186697
1320,OOM
1408,167096
1408,OOM
1496,88517
1496,OOM
1584,700246
1584,OOM
1672,416350
1672,OOM
1760,1049910
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
