n,nodes
88,80
176,158
264,255
352,482
440,582
528,1065
616,2579
704,1893
792,5188
880,10752
968,30587
1056,38719
1144,204789
1232,202999
1232,OOM
1320,509186
1408,293249
1496,1017942
1496,OOM
1584,452667
1584,OOM
1672,962466
1672,OOM
1760,1399446
1760,OOM
1848,1399501
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
