n,nodes
88,77
176,158
264,254
352,516
440,563
528,1909
616,1491
704,2676
792,8373
880,14615
968,13076
1056,12015
1144,37423
1232,192179
1320,466357
1408,1534289
1496,583213
1496,OOM
1584,1012989
1584,OOM
1672,1399361
1672,OOM
1760,875146
1760,OOM
1848,1399517
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
