n,nodes
88,78
176,157
264,258
352,509
440,576
528,2529
616,1520
704,2920
792,8108
880,15396
968,12339
1056,11892
1144,40235
1232,210024
1320,467037
1408,1502154
1496,583212
1496,OOM
1584,1049780
1584,OOM
1672,1399380
1672,OOM
1760,875154
1760,OOM
1848,1399508
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
