n,nodes
88,90
176,168
264,286
352,479
440,619
528,1248
616,2814
704,1897
792,5170
880,13878
968,36068
1056,38462
1144,162629
1232,212834
1232,OOM
1320,135710
1320,OOM
1408,200797
1408,OOM
1496,350669
1496,OOM
1584,88576
1584,OOM
1672,350794
1672,OOM
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
