n,nodes
88,97
176,164
264,295
352,539
440,625
528,2357
616,1628
704,2798
792,10740
880,32224
968,13637
1056,15038
1144,54837
1232,179789
1320,188611
1320,OOM
1408,OOM
1496,128680
1496,OOM
1584,350727
1584,OOM
1672,OOM
1760,350870
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
