n,nodes
88,91
176,165
264,286
352,547
440,614
528,2529
616,1545
704,3047
792,10428
880,24984
968,13398
1056,14018
1144,52635
1232,172818
1320,182006
1320,OOM
1408,OOM
1496,167166
1496,OOM
1584,350712
1584,OOM
1672,OOM
1760,350856
1760,OOM
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
