n,nodes
88,82
176,158
264,254
352,506
440,575
528,2530
616,1598
704,2918
792,8111
880,14329
968,13361
1056,11898
1144,39093
1232,213291
1320,481597
1408,1495631
1496,569119
1496,OOM
1584,967537
1584,OOM
1672,1399374
1672,OOM
1760,850182
1760,OOM
1848,1399523
1848,OOM
1936,OOM
2024,OOM
2112,OOM
2200,OOM
2288,OOM
2376,OOM
2464,OOM
2552,OOM
2640,OOM
2728,OOM
2816,OOM
2904,OOM
2992,OOM
3080,OOM
3168,OOM
3256,OOM
3344,OOM
3432,OOM
3520,OOM
3608,OOM
3696,OOM
3784,OOM
3872,OOM
3960,OOM
4048,OOM
4136,OOM
