n,nodes
88,65
176,167
264,400
352,804
440,924
528,1830
616,5482
704,5585
792,8996
880,28536
968,42234
1056,83720
1144,316116
1232,320269
1320,1000416
1408,2100776
1496,2986671
1584,4935953
1672,8760401
1760,15860004
1760,OOT
1848,20847511
1848,OOT
1936,17829158
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,5718735
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
