n,nodes
88,75
176,164
264,314
352,628
440,899
528,1473
616,4823
704,5246
792,11092
880,23903
968,99776
1056,102645
1144,206859
1232,502642
1320,636805
1408,1036915
1496,3200535
1584,4328492
1672,11329273
1672,OOT
1760,13767723
1760,OOT
1848,13076817
1848,OOT
1936,16232381
1936,OOT
2024,22087358
2024,OOT
2112,OOT
2200,OOT
2288,7260293
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
