n,nodes
88,75
176,169
264,331
352,642
440,1115
528,1960
616,4626
704,4977
792,10820
880,42274
968,32384
1056,81001
1144,168431
1232,533336
1320,702113
1408,2561151
1496,3934712
1584,9872471
1584,OOT
1672,9425561
1672,OOT
1760,13567806
1760,OOT
1848,18272010
1848,OOT
1936,21956071
1936,OOT
2024,OOT
2112,13996325
2112,OOT
2200,OOT
2288,21085465
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
