n,nodes
88,76
176,166
264,330
352,660
440,1149
528,2056
616,4323
704,5554
792,9490
880,41504
968,32299
1056,73852
1144,161306
1232,582586
1320,734706
1408,2589655
1496,3945177
1584,5463426
1584,OOT
1672,10855840
1672,OOT
1760,11687313
1760,OOT
1848,18102018
1848,OOT
1936,15407473
1936,OOT
2024,OOT
2112,5130633
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
