n,nodes
88,90
176,174
264,407
352,639
440,1007
528,1622
616,5067
704,6016
792,12651
880,41053
968,139602
1056,131524
1144,207818
1232,503726
1320,732193
1408,1248716
1496,3532119
1584,3856251
1584,OOT
1672,6171636
1672,OOT
1760,5584795
1760,OOT
1848,OOT
1936,4949301
1936,OOT
2024,6848185
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
