n,nodes
88,82
176,173
264,425
352,671
440,1122
528,2221
616,4778
704,5329
792,12153
880,80073
968,37550
1056,74041
1144,198519
1232,734542
1320,823610
1408,2806634
1496,3906870
1584,4200399
1584,OOT
1672,5577281
1672,OOT
1760,6096817
1760,OOT
1848,6088549
1848,OOT
1936,OOT
2024,OOT
2112,4965593
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
