n,nodes
88,81
176,171
264,434
352,682
440,1156
528,2457
616,4464
704,5799
792,14331
880,72444
968,35989
1056,74045
1144,181465
1232,650236
1320,956048
1408,2790997
1496,4088852
1496,OOT
1584,4471649
1584,OOT
1672,5289625
1672,OOT
1760,4505327
1760,OOT
1848,OOT
1936,3938541
1936,OOT
2024,OOT
2112,3229561
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
