n,nodes
88,76
176,169
264,324
352,668
440,1045
528,2194
616,4102
704,5249
792,9698
880,38177
968,33012
1056,67183
1144,185375
1232,545659
1320,703156
1408,3009637
1496,4094169
1584,7211401
1584,OOT
1672,9504322
1672,OOT
1760,11264138
1760,OOT
1848,18335964
1848,OOT
1936,11057983
1936,OOT
2024,OOT
2112,21692101
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
