n,nodes
88,69
176,178
264,378
352,738
440,979
528,2338
616,4923
704,7289
792,17438
880,36621
968,59493
1056,165192
1144,438340
1232,603281
1320,2595008
1408,4321741
1496,12113218
1584,9153868
1672,13657786
1672,OOT
1760,15105224
1760,OOT
1848,20518473
1848,OOT
1936,23288545
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
