n,nodes
88,80
176,171
264,329
352,724
440,1191
528,2273
616,4871
704,7021
792,13146
880,39338
968,63693
1056,132801
1144,395037
1232,2144670
1320,1485105
1408,2214181
1496,5891101
1496,OOT
1584,7005469
1584,OOT
1672,15923051
1672,OOT
1760,19184080
1760,OOT
1848,14782209
1848,OOT
1936,OOT
2024,OOT
2112,5627389
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
