n,nodes
88,78
176,177
264,352
352,710
440,1203
528,3629
616,5335
704,8218
792,20379
880,51856
968,46721
1056,77950
1144,173798
1232,589404
1320,1285903
1408,3300991
1496,5048231
1584,8398481
1584,OOT
1672,15671390
1672,OOT
1760,11775919
1760,OOT
1848,14633039
1848,OOT
1936,15249442
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
