n,nodes
88,81
176,175
264,348
352,734
440,1069
528,3493
616,4586
704,9630
792,17701
880,50471
968,40252
1056,82906
1144,232172
1232,563724
1320,1370525
1408,3387352
1496,5960974
1584,6899525
1584,OOT
1672,15196685
1672,OOT
1760,13291872
1760,OOT
1848,9110998
1848,OOT
1936,9344093
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
