n,nodes
88,93
176,184
264,409
352,782
440,1228
528,2201
616,5269
704,7333
792,15731
880,56885
968,74066
1056,146867
1144,436863
1232,2052702
1320,1624329
1408,2162675
1496,5422814
1496,OOT
1584,4197265
1584,OOT
1672,4816888
1672,OOT
1760,4599713
1760,OOT
1848,5593741
1848,OOT
1936,5943333
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
