n,nodes
88,83
176,187
264,449
352,783
440,1254
528,3460
616,4865
704,9957
792,24149
880,105213
968,48059
1056,100979
1144,260916
1232,758258
1320,1333551
1408,4180892
1408,OOT
1496,4646022
1496,OOT
1584,4100690
1584,OOT
1672,5040195
1672,OOT
1760,4591523
1760,OOT
1848,2884921
1848,OOT
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
