n,nodes
88,103
176,187
264,460
352,787
440,1285
528,3799
616,4401
704,9274
792,21004
880,93599
968,43312
1056,90972
1144,251950
1232,749836
1320,1450864
1408,4063403
1408,OOT
1496,4216758
1496,OOT
1584,4335391
1584,OOT
1672,6117897
1672,OOT
1760,5360662
1760,OOT
1848,OOT
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
