n,nodes
88,78
176,174
264,358
352,785
440,1170
528,3780
616,4088
704,8758
792,17399
880,45600
968,42791
1056,96080
1144,193341
1232,704004
1320,1428078
1408,3173473
1496,6025481
1584,8332145
1584,OOT
1672,13958658
1672,OOT
1760,13311046
1760,OOT
1848,15096490
1848,OOT
1936,15511590
1936,OOT
2024,26215865
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
