n,nodes
88,74
176,176
264,373
352,742
440,1051
528,2616
616,5461
704,7804
792,18137
880,34506
968,69842
1056,146677
1144,459907
1232,546221
1320,3233045
1408,3296042
1496,10773696
1496,OOT
1584,9250256
1672,14324914
1672,OOT
1760,12101279
1760,OOT
1848,15930961
1848,OOT
1936,20798175
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
