n,nodes
88,82
176,175
264,338
352,730
440,1017
528,2336
616,5027
704,7109
792,14551
880,36717
968,72431
1056,135765
1144,416236
1232,2146811
1320,1189464
1408,1417987
1496,6543218
1584,7468867
1584,OOT
1672,12002231
1672,OOT
1760,18121664
1760,OOT
1848,14594018
1848,OOT
1936,24468177
1936,OOT
2024,OOT
2112,OOT
2200,5594001
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,22371473
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
