n,nodes
88,85
176,181
264,346
352,743
440,1048
528,3558
616,5083
704,8735
792,19817
880,47428
968,43483
1056,95209
1144,227591
1232,712202
1320,1672367
1408,3611657
1496,6257210
1584,8796711
1672,14220477
1672,OOT
1760,11316128
1760,OOT
1848,10574521
1848,OOT
1936,13891413
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
