n,nodes
88,81
176,178
264,363
352,731
440,1132
528,3242
616,4837
704,9455
792,20317
880,57094
968,46793
1056,85182
1144,176042
1232,785595
1320,1568601
1408,3363189
1496,5936518
1584,9145171
1584,OOT
1672,14266724
1672,OOT
1760,13760714
1760,OOT
1848,12511522
1848,OOT
1936,18176717
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
