n,nodes
88,91
176,179
264,472
352,743
440,1254
528,2262
616,5277
704,6981
792,13232
880,68905
968,74567
1056,131178
1144,394686
1232,2170544
1320,1524522
1408,1823800
1496,5029144
1496,OOT
1584,5379189
1584,OOT
1672,4952450
1672,OOT
1760,6554871
1760,OOT
1848,3147065
1848,OOT
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
