n,nodes
88,98
176,186
264,409
352,831
440,1280
528,3628
616,4574
704,10715
792,24135
880,82452
968,48302
1056,89667
1144,240567
1232,722422
1320,2239003
1408,4249103
1408,OOT
1496,4267576
1496,OOT
1584,4316504
1584,OOT
1672,8040289
1672,OOT
1760,OOT
1848,OOT
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
