n,nodes
88,101
176,185
264,492
352,762
440,1108
528,3921
616,5476
704,9838
792,20612
880,107202
968,43905
1056,91786
1144,267727
1232,623656
1320,1642044
1408,4265189
1408,OOT
1496,4465434
1496,OOT
1584,4407487
1584,OOT
1672,OOT
1760,4195577
1760,OOT
1848,4545165
1848,OOT
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
