n,nodes
88,80
176,174
264,340
352,715
440,1244
528,3392
616,3998
704,9052
792,19352
880,43135
968,40652
1056,96292
1144,192429
1232,740965
1320,1489656
1408,3211739
1496,4934288
1496,OOT
1584,6145581
1584,OOT
1672,14349085
1672,OOT
1760,10719474
1760,OOT
1848,5932345
1848,OOT
1936,12278479
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
