n,nodes
6,7
8,11
10,17
12,34
16,43
20,51
24,75
32,95
36,35
40,7
45,19
48,34
52,401
64,332
72,240
80,35
81,933
90,1169
99,2240
100,1405
108,17
110,7
120,143
126,122
130,153
132,15
135,2183
144,294
160,293
170,7
176,9
180,9
182,21
187,7
189,7
192,12
198,15
208,111
210,10
216,11
221,7
243,52
264,10
270,18
300,9
308,9
312,148
322,8
340,9
352,13
360,11
375,8
396,10
400,8
405,957
414,8
416,8
429,8
437,7
440,10
464,10
465,7
475,8
480,9
486,1400
504,176
513,9
560,16
561,7
575,7
600,318
624,21
640,50
651,8
775,1354
783,14
784,6
840,607
900,10
924,2001
928,289
1024,13
1089,7
1260,26
1860,2455
1920,210
2736,20
2856,10
2880,11
3016,11
3080,10
3840,11974
4000,1924
4200,5
4224,10
4480,11
4752,29
7296,10210
7440,9
7544,8532
7680,31
8064,29
11340,10002
12288,11879
13824,7
36864,11
38400,9
46200,OOT
46592,OOT
47104,10
56832,OOT
