n,nodes
6,7
8,11
10,16
12,31
16,37
20,53
24,79
32,99
36,32
40,9
45,19
48,33
52,413
64,344
72,241
80,37
81,931
90,1169
99,2229
100,1434
108,18
110,8
120,146
126,130
130,142
132,15
135,2166
144,299
160,284
170,8
176,7
180,8
182,23
187,7
189,8
192,11
198,14
208,116
210,15
216,11
221,7
243,47
264,10
270,13
300,10
308,9
312,148
322,8
340,8
352,12
360,12
375,9
396,9
400,8
405,935
414,9
416,9
429,7
437,7
440,11
464,9
465,7
475,7
480,9
486,1316
504,189
513,9
560,17
561,7
575,7
600,329
624,23
640,49
651,9
775,1345
783,8
784,6
840,608
900,10
924,2040
928,295
1024,12
1089,9
1260,21
1860,2390
1920,207
2736,20
2856,9
2880,11
3016,11
3080,9
3840,12156
4000,1934
4200,5
4224,13
4480,11
4752,25
7296,10046
7440,10
7544,8469
7680,25
8064,23
11340,10152
12288,11900
13824,7
36864,12
38400,11
46200,9
46592,23
47104,11
56832,11
