n,nodes
6,1
8,4
10,8
12,13
16,22
20,24
24,28
32,27
36,27
40,9
45,21
48,33
52,59
64,83
72,63
80,33
81,164
90,169
99,301
100,258
108,22
110,9
120,63
126,54
130,60
132,14
135,267
144,90
160,109
170,9
176,10
180,10
182,19
187,8
189,9
192,12
198,16
208,62
210,10
216,13
221,8
243,36
264,11
270,17
300,12
308,10
312,56
322,9
340,10
352,13
360,12
375,10
396,10
400,9
405,221
414,9
416,9
429,9
437,8
440,12
464,11
465,8
475,8
480,10
486,250
504,95
513,10
560,16
561,9
575,9
600,120
624,23
640,32
651,9
775,239
783,10
784,6
840,200
900,10
924,291
928,102
1024,14
1089,8
1260,22
1860,363
1920,157
2736,25
2856,10
2880,12
3016,11
3080,11
3840,3209
4000,218
4200,5
4224,14
4480,13
4752,26
7296,636
7440,12
7544,530
7680,28
8064,24
11340,660
12288,812
13824,7
36864,14
38400,12
46200,9
46592,26
47104,14
56832,12
