n,nodes
6,8
8,13
10,19
12,31
16,43
20,41
24,42
32,45
36,34
40,10
45,22
48,44
52,247
64,91
72,116
80,49
81,265
90,287
99,519
100,393
108,21
110,9
120,90
126,68
130,95
132,18
135,301
144,121
160,119
170,9
176,9
180,14
182,25
187,9
189,9
192,10
198,17
208,125
210,18
216,12
221,9
243,68
264,13
270,20
300,13
308,12
312,108
322,9
340,12
352,14
360,14
375,18
396,12
400,9
405,427
414,10
416,10
429,9
437,9
440,14
464,10
465,9
475,9
480,12
486,341
504,114
513,12
560,19
561,9
575,9
600,237
624,19
640,35
651,10
775,318
783,21
784,7
840,275
900,14
924,363
928,145
1024,14
1089,9
1260,17
1860,407
1920,97
2736,15
2856,16
2880,14
3016,13
3080,11
3840,1229
4000,389
4200,7
4224,9
4480,13
4752,19
7296,682
7440,9
7544,736
7680,19
8064,19
11340,1157
12288,933
13824,8
36864,10
38400,9
46200,11
46592,19
47104,9
56832,10
